Year,Country,Life Expetancy
01/01/1980,Albania,70
01/01/1980,Algeria,58
01/01/1980,Argentina,69
01/01/1980,Australia,74
01/01/1980,Austria,73
01/01/1980,Bahrain,70
01/01/1980,Barbados,68
01/01/1980,Belgium,73
01/01/1980,Belize,70
01/01/1980,Bolivia,52
01/01/1980,Botswana,61
01/01/1980,Brazil,63
01/01/1980,Brunei,71
01/01/1980,Bulgaria,71
01/01/1980,Canada,75
01/01/1980,Chile,69
01/01/1980,China,67
01/01/1980,Colombia,66
01/01/1980,Costa Rica,72
01/01/1980,Cuba,74
01/01/1980,Cyprus,75
01/01/1980,Denmark,74
01/01/1980,Dominican Rep.,63
01/01/1980,Ecuador,63
01/01/1980,Egypt,58
01/01/1980,El Salvador,57
01/01/1980,Fiji,63
01/01/1980,Finland,73
01/01/1980,France,74
01/01/1980,Gabon,55
01/01/1980,Germany,73
01/01/1980,Greece,74
01/01/1980,Guatemala,57
01/01/1980,Guyana,61
01/01/1980,Honduras,60
01/01/1980,Hong Kong,75
01/01/1980,Hungary,69
01/01/1980,Iceland,77
01/01/1980,Indonesia,59
01/01/1980,Iran,54
01/01/1980,Iraq,60
01/01/1980,Ireland,72
01/01/1980,Israel,74
01/01/1980,Italy,74
01/01/1980,Jamaica,71
01/01/1980,Japan,76
01/01/1980,Jordan,66
01/01/1980,Kuwait,69
01/01/1980,Luxembourg,72
01/01/1980,Malaysia,68
01/01/1980,Malta,73
01/01/1980,Mauritius,67
01/01/1980,Mexico,67
01/01/1980,Mongolia,57
01/01/1980,Namibia,58
01/01/1980,Netherlands,76
01/01/1980,New Zealand,73
01/01/1980,Norway,76
01/01/1980,Panama,70
01/01/1980,Paraguay,67
01/01/1980,Peru,60
01/01/1980,Philippines,62
01/01/1980,Poland,71
01/01/1980,Portugal,71
01/01/1980,Qatar,73
01/01/1980,Romania,70
01/01/1980,Saudi Arabia,63
01/01/1980,South Africa,57
01/01/1980,South Korea,66
01/01/1980,Spain,75
01/01/1980,Sri Lanka,68
01/01/1980,Sweden,76
01/01/1980,Switzerland,76
01/01/1980,Thailand,64
01/01/1980,Tonga,67
01/01/1980,Trinidad Tobago,67
01/01/1980,Tunisia,62
01/01/1980,Turkey,59
01/01/1980,UAE,68
01/01/1980,United Kingdom,74
01/01/1980,United States,74
01/01/1980,Uruguay,70
01/01/1980,Venezuela,68
01/01/1980,Vietnam,68
01/01/1981,Albania,70
01/01/1981,Algeria,60
01/01/1981,Argentina,70
01/01/1981,Australia,75
01/01/1981,Austria,73
01/01/1981,Bahrain,70
01/01/1981,Barbados,69
01/01/1981,Belgium,73
01/01/1981,Belize,70
01/01/1981,Bolivia,53
01/01/1981,Botswana,61
01/01/1981,Brazil,63
01/01/1981,Brunei,71
01/01/1981,Bulgaria,71
01/01/1981,Canada,75
01/01/1981,Chile,70
01/01/1981,China,67
01/01/1981,Colombia,66
01/01/1981,Costa Rica,73
01/01/1981,Cuba,74
01/01/1981,Cyprus,75
01/01/1981,Denmark,74
01/01/1981,Dominican Rep.,63
01/01/1981,Ecuador,64
01/01/1981,Egypt,59
01/01/1981,El Salvador,57
01/01/1981,Fiji,63
01/01/1981,Finland,74
01/01/1981,France,74
01/01/1981,Gabon,56
01/01/1981,Germany,73
01/01/1981,Greece,74
01/01/1981,Guatemala,58
01/01/1981,Guyana,61
01/01/1981,Honduras,60
01/01/1981,Hong Kong,75
01/01/1981,Hungary,69
01/01/1981,Iceland,77
01/01/1981,Indonesia,59
01/01/1981,Iran,53
01/01/1981,Iraq,60
01/01/1981,Ireland,73
01/01/1981,Israel,74
01/01/1981,Italy,74
01/01/1981,Jamaica,71
01/01/1981,Japan,77
01/01/1981,Jordan,67
01/01/1981,Kuwait,70
01/01/1981,Luxembourg,72
01/01/1981,Malaysia,68
01/01/1981,Malta,73
01/01/1981,Mauritius,67
01/01/1981,Mexico,67
01/01/1981,Mongolia,57
01/01/1981,Namibia,58
01/01/1981,Netherlands,76
01/01/1981,New Zealand,73
01/01/1981,Norway,76
01/01/1981,Panama,71
01/01/1981,Paraguay,67
01/01/1981,Peru,61
01/01/1981,Philippines,62
01/01/1981,Poland,71
01/01/1981,Portugal,72
01/01/1981,Qatar,73
01/01/1981,Romania,70
01/01/1981,Saudi Arabia,64
01/01/1981,South Africa,58
01/01/1981,South Korea,67
01/01/1981,Spain,75
01/01/1981,Sri Lanka,69
01/01/1981,Sweden,76
01/01/1981,Switzerland,76
01/01/1981,Thailand,65
01/01/1981,Tonga,68
01/01/1981,Trinidad Tobago,67
01/01/1981,Tunisia,63
01/01/1981,Turkey,59
01/01/1981,UAE,68
01/01/1981,United Kingdom,74
01/01/1981,United States,74
01/01/1981,Uruguay,71
01/01/1981,Venezuela,68
01/01/1981,Vietnam,68
01/01/1982,Albania,71
01/01/1982,Algeria,61
01/01/1982,Argentina,70
01/01/1982,Australia,75
01/01/1982,Austria,73
01/01/1982,Bahrain,70
01/01/1982,Barbados,69
01/01/1982,Belgium,74
01/01/1982,Belize,70
01/01/1982,Bolivia,54
01/01/1982,Botswana,62
01/01/1982,Brazil,63
01/01/1982,Brunei,71
01/01/1982,Bulgaria,71
01/01/1982,Canada,76
01/01/1982,Chile,70
01/01/1982,China,68
01/01/1982,Colombia,67
01/01/1982,Costa Rica,73
01/01/1982,Cuba,74
01/01/1982,Cyprus,75
01/01/1982,Denmark,74
01/01/1982,Dominican Rep.,64
01/01/1982,Ecuador,64
01/01/1982,Egypt,60
01/01/1982,El Salvador,57
01/01/1982,Fiji,64
01/01/1982,Finland,74
01/01/1982,France,75
01/01/1982,Gabon,57
01/01/1982,Germany,74
01/01/1982,Greece,74
01/01/1982,Guatemala,58
01/01/1982,Guyana,61
01/01/1982,Honduras,61
01/01/1982,Hong Kong,75
01/01/1982,Hungary,69
01/01/1982,Iceland,77
01/01/1982,Indonesia,60
01/01/1982,Iran,53
01/01/1982,Iraq,60
01/01/1982,Ireland,73
01/01/1982,Israel,75
01/01/1982,Italy,75
01/01/1982,Jamaica,71
01/01/1982,Japan,77
01/01/1982,Jordan,67
01/01/1982,Kuwait,70
01/01/1982,Luxembourg,73
01/01/1982,Malaysia,69
01/01/1982,Malta,73
01/01/1982,Mauritius,68
01/01/1982,Mexico,68
01/01/1982,Mongolia,57
01/01/1982,Namibia,59
01/01/1982,Netherlands,76
01/01/1982,New Zealand,74
01/01/1982,Norway,76
01/01/1982,Panama,71
01/01/1982,Paraguay,67
01/01/1982,Peru,61
01/01/1982,Philippines,63
01/01/1982,Poland,71
01/01/1982,Portugal,72
01/01/1982,Qatar,73
01/01/1982,Romania,70
01/01/1982,Saudi Arabia,65
01/01/1982,South Africa,58
01/01/1982,South Korea,67
01/01/1982,Spain,76
01/01/1982,Sri Lanka,69
01/01/1982,Sweden,76
01/01/1982,Switzerland,76
01/01/1982,Thailand,65
01/01/1982,Tonga,68
01/01/1982,Trinidad Tobago,67
01/01/1982,Tunisia,64
01/01/1982,Turkey,60
01/01/1982,UAE,69
01/01/1982,United Kingdom,74
01/01/1982,United States,74
01/01/1982,Uruguay,71
01/01/1982,Venezuela,69
01/01/1982,Vietnam,68
01/01/1983,Albania,71
01/01/1983,Algeria,62
01/01/1983,Argentina,70
01/01/1983,Australia,75
01/01/1983,Austria,73
01/01/1983,Bahrain,71
01/01/1983,Barbados,69
01/01/1983,Belgium,74
01/01/1983,Belize,71
01/01/1983,Bolivia,54
01/01/1983,Botswana,62
01/01/1983,Brazil,64
01/01/1983,Brunei,72
01/01/1983,Bulgaria,71
01/01/1983,Canada,76
01/01/1983,Chile,71
01/01/1983,China,68
01/01/1983,Colombia,67
01/01/1983,Costa Rica,74
01/01/1983,Cuba,74
01/01/1983,Cyprus,75
01/01/1983,Denmark,74
01/01/1983,Dominican Rep.,64
01/01/1983,Ecuador,65
01/01/1983,Egypt,60
01/01/1983,El Salvador,58
01/01/1983,Fiji,64
01/01/1983,Finland,74
01/01/1983,France,75
01/01/1983,Gabon,57
01/01/1983,Germany,74
01/01/1983,Greece,75
01/01/1983,Guatemala,59
01/01/1983,Guyana,61
01/01/1983,Honduras,62
01/01/1983,Hong Kong,76
01/01/1983,Hungary,69
01/01/1983,Iceland,77
01/01/1983,Indonesia,60
01/01/1983,Iran,53
01/01/1983,Iraq,60
01/01/1983,Ireland,73
01/01/1983,Israel,75
01/01/1983,Italy,75
01/01/1983,Jamaica,71
01/01/1983,Japan,77
01/01/1983,Jordan,67
01/01/1983,Kuwait,70
01/01/1983,Luxembourg,73
01/01/1983,Malaysia,69
01/01/1983,Malta,74
01/01/1983,Mauritius,68
01/01/1983,Mexico,68
01/01/1983,Mongolia,58
01/01/1983,Namibia,59
01/01/1983,Netherlands,76
01/01/1983,New Zealand,74
01/01/1983,Norway,76
01/01/1983,Panama,71
01/01/1983,Paraguay,67
01/01/1983,Peru,62
01/01/1983,Philippines,63
01/01/1983,Poland,71
01/01/1983,Portugal,73
01/01/1983,Qatar,74
01/01/1983,Romania,70
01/01/1983,Saudi Arabia,65
01/01/1983,South Africa,59
01/01/1983,South Korea,68
01/01/1983,Spain,76
01/01/1983,Sri Lanka,69
01/01/1983,Sweden,76
01/01/1983,Switzerland,76
01/01/1983,Thailand,66
01/01/1983,Tonga,68
01/01/1983,Trinidad Tobago,67
01/01/1983,Tunisia,65
01/01/1983,Turkey,61
01/01/1983,UAE,69
01/01/1983,United Kingdom,74
01/01/1983,United States,74
01/01/1983,Uruguay,71
01/01/1983,Venezuela,69
01/01/1983,Vietnam,68
01/01/1984,Albania,71
01/01/1984,Algeria,63
01/01/1984,Argentina,70
01/01/1984,Australia,75
01/01/1984,Austria,74
01/01/1984,Bahrain,71
01/01/1984,Barbados,70
01/01/1984,Belgium,74
01/01/1984,Belize,71
01/01/1984,Bolivia,55
01/01/1984,Botswana,62
01/01/1984,Brazil,64
01/01/1984,Brunei,72
01/01/1984,Bulgaria,71
01/01/1984,Canada,76
01/01/1984,Chile,71
01/01/1984,China,68
01/01/1984,Colombia,67
01/01/1984,Costa Rica,74
01/01/1984,Cuba,74
01/01/1984,Cyprus,76
01/01/1984,Denmark,75
01/01/1984,Dominican Rep.,65
01/01/1984,Ecuador,65
01/01/1984,Egypt,61
01/01/1984,El Salvador,59
01/01/1984,Fiji,64
01/01/1984,Finland,74
01/01/1984,France,75
01/01/1984,Gabon,58
01/01/1984,Germany,74
01/01/1984,Greece,75
01/01/1984,Guatemala,59
01/01/1984,Guyana,61
01/01/1984,Honduras,63
01/01/1984,Hong Kong,76
01/01/1984,Hungary,69
01/01/1984,Iceland,77
01/01/1984,Indonesia,61
01/01/1984,Iran,54
01/01/1984,Iraq,61
01/01/1984,Ireland,73
01/01/1984,Israel,75
01/01/1984,Italy,75
01/01/1984,Jamaica,71
01/01/1984,Japan,77
01/01/1984,Jordan,68
01/01/1984,Kuwait,71
01/01/1984,Luxembourg,73
01/01/1984,Malaysia,69
01/01/1984,Malta,74
01/01/1984,Mauritius,68
01/01/1984,Mexico,68
01/01/1984,Mongolia,58
01/01/1984,Namibia,60
01/01/1984,Netherlands,76
01/01/1984,New Zealand,74
01/01/1984,Norway,76
01/01/1984,Panama,71
01/01/1984,Paraguay,67
01/01/1984,Peru,62
01/01/1984,Philippines,63
01/01/1984,Poland,71
01/01/1984,Portugal,73
01/01/1984,Qatar,74
01/01/1984,Romania,70
01/01/1984,Saudi Arabia,66
01/01/1984,South Africa,59
01/01/1984,South Korea,68
01/01/1984,Spain,76
01/01/1984,Sri Lanka,69
01/01/1984,Sweden,77
01/01/1984,Switzerland,76
01/01/1984,Thailand,67
01/01/1984,Tonga,68
01/01/1984,Trinidad Tobago,67
01/01/1984,Tunisia,65
01/01/1984,Turkey,61
01/01/1984,UAE,69
01/01/1984,United Kingdom,74
01/01/1984,United States,75
01/01/1984,Uruguay,71
01/01/1984,Venezuela,69
01/01/1984,Vietnam,69
01/01/1985,Albania,71
01/01/1985,Algeria,64
01/01/1985,Argentina,71
01/01/1985,Australia,76
01/01/1985,Austria,74
01/01/1985,Bahrain,71
01/01/1985,Barbados,70
01/01/1985,Belgium,74
01/01/1985,Belize,71
01/01/1985,Bolivia,56
01/01/1985,Botswana,63
01/01/1985,Brazil,64
01/01/1985,Brunei,72
01/01/1985,Bulgaria,71
01/01/1985,Canada,76
01/01/1985,Chile,72
01/01/1985,China,68
01/01/1985,Colombia,68
01/01/1985,Costa Rica,75
01/01/1985,Cuba,75
01/01/1985,Cyprus,76
01/01/1985,Denmark,75
01/01/1985,Dominican Rep.,65
01/01/1985,Ecuador,66
01/01/1985,Egypt,62
01/01/1985,El Salvador,60
01/01/1985,Fiji,64
01/01/1985,Finland,75
01/01/1985,France,75
01/01/1985,Gabon,59
01/01/1985,Germany,74
01/01/1985,Greece,75
01/01/1985,Guatemala,60
01/01/1985,Guyana,61
01/01/1985,Honduras,64
01/01/1985,Hong Kong,76
01/01/1985,Hungary,69
01/01/1985,Iceland,77
01/01/1985,Indonesia,61
01/01/1985,Iran,55
01/01/1985,Iraq,62
01/01/1985,Ireland,74
01/01/1985,Israel,75
01/01/1985,Italy,76
01/01/1985,Jamaica,71
01/01/1985,Japan,78
01/01/1985,Jordan,68
01/01/1985,Kuwait,71
01/01/1985,Luxembourg,74
01/01/1985,Malaysia,69
01/01/1985,Malta,74
01/01/1985,Mauritius,68
01/01/1985,Mexico,69
01/01/1985,Mongolia,58
01/01/1985,Namibia,60
01/01/1985,Netherlands,76
01/01/1985,New Zealand,74
01/01/1985,Norway,76
01/01/1985,Panama,72
01/01/1985,Paraguay,67
01/01/1985,Peru,63
01/01/1985,Philippines,64
01/01/1985,Poland,71
01/01/1985,Portugal,73
01/01/1985,Qatar,74
01/01/1985,Romania,70
01/01/1985,Saudi Arabia,67
01/01/1985,South Africa,60
01/01/1985,South Korea,69
01/01/1985,Spain,76
01/01/1985,Sri Lanka,69
01/01/1985,Sweden,77
01/01/1985,Switzerland,77
01/01/1985,Thailand,68
01/01/1985,Tonga,69
01/01/1985,Trinidad Tobago,68
01/01/1985,Tunisia,66
01/01/1985,Turkey,62
01/01/1985,UAE,70
01/01/1985,United Kingdom,75
01/01/1985,United States,75
01/01/1985,Uruguay,72
01/01/1985,Venezuela,70
01/01/1985,Vietnam,69
01/01/1986,Albania,72
01/01/1986,Algeria,65
01/01/1986,Argentina,71
01/01/1986,Australia,76
01/01/1986,Austria,74
01/01/1986,Bahrain,72
01/01/1986,Barbados,70
01/01/1986,Belgium,75
01/01/1986,Belize,71
01/01/1986,Bolivia,56
01/01/1986,Botswana,63
01/01/1986,Brazil,65
01/01/1986,Brunei,72
01/01/1986,Bulgaria,71
01/01/1986,Canada,76
01/01/1986,Chile,72
01/01/1986,China,69
01/01/1986,Colombia,68
01/01/1986,Costa Rica,75
01/01/1986,Cuba,75
01/01/1986,Cyprus,76
01/01/1986,Denmark,75
01/01/1986,Dominican Rep.,66
01/01/1986,Ecuador,67
01/01/1986,Egypt,63
01/01/1986,El Salvador,61
01/01/1986,Fiji,65
01/01/1986,Finland,75
01/01/1986,France,76
01/01/1986,Gabon,60
01/01/1986,Germany,75
01/01/1986,Greece,75
01/01/1986,Guatemala,60
01/01/1986,Guyana,61
01/01/1986,Honduras,64
01/01/1986,Hong Kong,77
01/01/1986,Hungary,69
01/01/1986,Iceland,77
01/01/1986,Indonesia,62
01/01/1986,Iran,57
01/01/1986,Iraq,63
01/01/1986,Ireland,74
01/01/1986,Israel,75
01/01/1986,Italy,76
01/01/1986,Jamaica,71
01/01/1986,Japan,78
01/01/1986,Jordan,69
01/01/1986,Kuwait,71
01/01/1986,Luxembourg,74
01/01/1986,Malaysia,70
01/01/1986,Malta,74
01/01/1986,Mauritius,69
01/01/1986,Mexico,69
01/01/1986,Mongolia,59
01/01/1986,Namibia,60
01/01/1986,Netherlands,77
01/01/1986,New Zealand,74
01/01/1986,Norway,76
01/01/1986,Panama,72
01/01/1986,Paraguay,67
01/01/1986,Peru,63
01/01/1986,Philippines,64
01/01/1986,Poland,71
01/01/1986,Portugal,73
01/01/1986,Qatar,74
01/01/1986,Romania,70
01/01/1986,Saudi Arabia,67
01/01/1986,South Africa,60
01/01/1986,South Korea,70
01/01/1986,Spain,77
01/01/1986,Sri Lanka,69
01/01/1986,Sweden,77
01/01/1986,Switzerland,77
01/01/1986,Thailand,69
01/01/1986,Tonga,69
01/01/1986,Trinidad Tobago,68
01/01/1986,Tunisia,66
01/01/1986,Turkey,62
01/01/1986,UAE,70
01/01/1986,United Kingdom,75
01/01/1986,United States,75
01/01/1986,Uruguay,72
01/01/1986,Venezuela,70
01/01/1986,Vietnam,69
01/01/1987,Albania,72
01/01/1987,Algeria,66
01/01/1987,Argentina,71
01/01/1987,Australia,76
01/01/1987,Austria,75
01/01/1987,Bahrain,72
01/01/1987,Barbados,70
01/01/1987,Belgium,75
01/01/1987,Belize,71
01/01/1987,Bolivia,57
01/01/1987,Botswana,63
01/01/1987,Brazil,65
01/01/1987,Brunei,73
01/01/1987,Bulgaria,71
01/01/1987,Canada,77
01/01/1987,Chile,73
01/01/1987,China,69
01/01/1987,Colombia,68
01/01/1987,Costa Rica,75
01/01/1987,Cuba,75
01/01/1987,Cyprus,76
01/01/1987,Denmark,75
01/01/1987,Dominican Rep.,66
01/01/1987,Ecuador,67
01/01/1987,Egypt,63
01/01/1987,El Salvador,62
01/01/1987,Fiji,65
01/01/1987,Finland,75
01/01/1987,France,76
01/01/1987,Gabon,60
01/01/1987,Germany,75
01/01/1987,Greece,76
01/01/1987,Guatemala,61
01/01/1987,Guyana,62
01/01/1987,Honduras,65
01/01/1987,Hong Kong,77
01/01/1987,Hungary,69
01/01/1987,Iceland,77
01/01/1987,Indonesia,62
01/01/1987,Iran,58
01/01/1987,Iraq,65
01/01/1987,Ireland,74
01/01/1987,Israel,76
01/01/1987,Italy,76
01/01/1987,Jamaica,71
01/01/1987,Japan,78
01/01/1987,Jordan,69
01/01/1987,Kuwait,71
01/01/1987,Luxembourg,74
01/01/1987,Malaysia,70
01/01/1987,Malta,75
01/01/1987,Mauritius,69
01/01/1987,Mexico,70
01/01/1987,Mongolia,59
01/01/1987,Namibia,61
01/01/1987,Netherlands,77
01/01/1987,New Zealand,74
01/01/1987,Norway,76
01/01/1987,Panama,72
01/01/1987,Paraguay,68
01/01/1987,Peru,64
01/01/1987,Philippines,64
01/01/1987,Poland,71
01/01/1987,Portugal,74
01/01/1987,Qatar,75
01/01/1987,Romania,70
01/01/1987,Saudi Arabia,68
01/01/1987,South Africa,61
01/01/1987,South Korea,70
01/01/1987,Spain,77
01/01/1987,Sri Lanka,69
01/01/1987,Sweden,77
01/01/1987,Switzerland,77
01/01/1987,Thailand,69
01/01/1987,Tonga,69
01/01/1987,Trinidad Tobago,68
01/01/1987,Tunisia,67
01/01/1987,Turkey,63
01/01/1987,UAE,71
01/01/1987,United Kingdom,75
01/01/1987,United States,75
01/01/1987,Uruguay,72
01/01/1987,Venezuela,70
01/01/1987,Vietnam,70
01/01/1988,Albania,72
01/01/1988,Algeria,66
01/01/1988,Argentina,71
01/01/1988,Australia,76
01/01/1988,Austria,75
01/01/1988,Bahrain,72
01/01/1988,Barbados,71
01/01/1988,Belgium,75
01/01/1988,Belize,71
01/01/1988,Bolivia,58
01/01/1988,Botswana,63
01/01/1988,Brazil,66
01/01/1988,Brunei,73
01/01/1988,Bulgaria,71
01/01/1988,Canada,77
01/01/1988,Chile,73
01/01/1988,China,69
01/01/1988,Colombia,68
01/01/1988,Costa Rica,75
01/01/1988,Cuba,75
01/01/1988,Cyprus,76
01/01/1988,Denmark,75
01/01/1988,Dominican Rep.,67
01/01/1988,Ecuador,68
01/01/1988,Egypt,64
01/01/1988,El Salvador,64
01/01/1988,Fiji,65
01/01/1988,Finland,75
01/01/1988,France,76
01/01/1988,Gabon,61
01/01/1988,Germany,75
01/01/1988,Greece,76
01/01/1988,Guatemala,61
01/01/1988,Guyana,62
01/01/1988,Honduras,66
01/01/1988,Hong Kong,77
01/01/1988,Hungary,69
01/01/1988,Iceland,78
01/01/1988,Indonesia,63
01/01/1988,Iran,60
01/01/1988,Iraq,66
01/01/1988,Ireland,74
01/01/1988,Israel,76
01/01/1988,Italy,76
01/01/1988,Jamaica,71
01/01/1988,Japan,79
01/01/1988,Jordan,69
01/01/1988,Kuwait,72
01/01/1988,Luxembourg,75
01/01/1988,Malaysia,70
01/01/1988,Malta,75
01/01/1988,Mauritius,69
01/01/1988,Mexico,70
01/01/1988,Mongolia,60
01/01/1988,Namibia,61
01/01/1988,Netherlands,77
01/01/1988,New Zealand,75
01/01/1988,Norway,76
01/01/1988,Panama,73
01/01/1988,Paraguay,68
01/01/1988,Peru,65
01/01/1988,Philippines,65
01/01/1988,Poland,71
01/01/1988,Portugal,74
01/01/1988,Qatar,75
01/01/1988,Romania,70
01/01/1988,Saudi Arabia,68
01/01/1988,South Africa,61
01/01/1988,South Korea,71
01/01/1988,Spain,77
01/01/1988,Sri Lanka,69
01/01/1988,Sweden,77
01/01/1988,Switzerland,77
01/01/1988,Thailand,70
01/01/1988,Tonga,69
01/01/1988,Trinidad Tobago,68
01/01/1988,Tunisia,68
01/01/1988,Turkey,63
01/01/1988,UAE,71
01/01/1988,United Kingdom,75
01/01/1988,United States,75
01/01/1988,Uruguay,72
01/01/1988,Venezuela,71
01/01/1988,Vietnam,70
01/01/1989,Albania,72
01/01/1989,Algeria,66
01/01/1989,Argentina,71
01/01/1989,Australia,77
01/01/1989,Austria,75
01/01/1989,Bahrain,72
01/01/1989,Barbados,71
01/01/1989,Belgium,76
01/01/1989,Belize,71
01/01/1989,Bolivia,58
01/01/1989,Botswana,63
01/01/1989,Brazil,66
01/01/1989,Brunei,73
01/01/1989,Bulgaria,71
01/01/1989,Canada,77
01/01/1989,Chile,73
01/01/1989,China,69
01/01/1989,Colombia,68
01/01/1989,Costa Rica,75
01/01/1989,Cuba,75
01/01/1989,Cyprus,76
01/01/1989,Denmark,75
01/01/1989,Dominican Rep.,67
01/01/1989,Ecuador,68
01/01/1989,Egypt,64
01/01/1989,El Salvador,65
01/01/1989,Fiji,65
01/01/1989,Finland,75
01/01/1989,France,76
01/01/1989,Gabon,61
01/01/1989,Germany,75
01/01/1989,Greece,76
01/01/1989,Guatemala,62
01/01/1989,Guyana,62
01/01/1989,Honduras,66
01/01/1989,Hong Kong,77
01/01/1989,Hungary,69
01/01/1989,Iceland,78
01/01/1989,Indonesia,63
01/01/1989,Iran,62
01/01/1989,Iraq,67
01/01/1989,Ireland,74
01/01/1989,Israel,76
01/01/1989,Italy,77
01/01/1989,Jamaica,71
01/01/1989,Japan,79
01/01/1989,Jordan,70
01/01/1989,Kuwait,72
01/01/1989,Luxembourg,75
01/01/1989,Malaysia,71
01/01/1989,Malta,75
01/01/1989,Mauritius,69
01/01/1989,Mexico,70
01/01/1989,Mongolia,60
01/01/1989,Namibia,61
01/01/1989,Netherlands,77
01/01/1989,New Zealand,75
01/01/1989,Norway,76
01/01/1989,Panama,73
01/01/1989,Paraguay,68
01/01/1989,Peru,65
01/01/1989,Philippines,65
01/01/1989,Poland,71
01/01/1989,Portugal,74
01/01/1989,Qatar,75
01/01/1989,Romania,70
01/01/1989,Saudi Arabia,69
01/01/1989,South Africa,62
01/01/1989,South Korea,71
01/01/1989,Spain,77
01/01/1989,Sri Lanka,69
01/01/1989,Sweden,77
01/01/1989,Switzerland,77
01/01/1989,Thailand,70
01/01/1989,Tonga,69
01/01/1989,Trinidad Tobago,68
01/01/1989,Tunisia,68
01/01/1989,Turkey,64
01/01/1989,UAE,71
01/01/1989,United Kingdom,75
01/01/1989,United States,75
01/01/1989,Uruguay,72
01/01/1989,Venezuela,71
01/01/1989,Vietnam,70
01/01/1990,Albania,72
01/01/1990,Algeria,67
01/01/1990,Argentina,72
01/01/1990,Australia,77
01/01/1990,Austria,75
01/01/1990,Bahrain,72
01/01/1990,Barbados,71
01/01/1990,Belgium,76
01/01/1990,Belize,71
01/01/1990,Bolivia,59
01/01/1990,Botswana,63
01/01/1990,Brazil,66
01/01/1990,Brunei,74
01/01/1990,Bulgaria,71
01/01/1990,Canada,77
01/01/1990,Chile,74
01/01/1990,China,69
01/01/1990,Colombia,68
01/01/1990,Costa Rica,76
01/01/1990,Cuba,75
01/01/1990,Cyprus,77
01/01/1990,Denmark,75
01/01/1990,Dominican Rep.,68
01/01/1990,Ecuador,69
01/01/1990,Egypt,65
01/01/1990,El Salvador,66
01/01/1990,Fiji,66
01/01/1990,Finland,75
01/01/1990,France,77
01/01/1990,Gabon,61
01/01/1990,Germany,75
01/01/1990,Greece,77
01/01/1990,Guatemala,62
