Club,Season,Position
Arsenal,01/08/1914,25
Arsenal,01/08/1915,25
Arsenal,01/08/1916,25
Arsenal,01/08/1917,25
Arsenal,01/08/1918,25
Arsenal,01/08/1919,10
Arsenal,01/08/1920,9
Arsenal,01/08/1921,17
Arsenal,01/08/1922,11
Arsenal,01/08/1923,19
Arsenal,01/08/1924,20
Arsenal,01/08/1925,2
Arsenal,01/08/1926,11
Arsenal,01/08/1927,10
Arsenal,01/08/1928,9
Arsenal,01/08/1929,14
Arsenal,01/08/1930,1
Arsenal,01/08/1931,2
Arsenal,01/08/1932,1
Arsenal,01/08/1933,1
Arsenal,01/08/1934,1
Arsenal,01/08/1935,6
Arsenal,01/08/1936,3
Arsenal,01/08/1937,1
Arsenal,01/08/1938,5
Arsenal,01/08/1939,5
Arsenal,01/08/1940,5
Arsenal,01/08/1941,5
Arsenal,01/08/1942,5
Arsenal,01/08/1943,5
Arsenal,01/08/1944,5
Arsenal,01/08/1945,5
Arsenal,01/08/1946,13
Arsenal,01/08/1947,1
Arsenal,01/08/1948,5
Arsenal,01/08/1949,6
Arsenal,01/08/1950,5
Arsenal,01/08/1951,3
Arsenal,01/08/1952,1
Arsenal,01/08/1953,12
Arsenal,01/08/1954,9
Arsenal,01/08/1955,5
Arsenal,01/08/1956,5
Arsenal,01/08/1957,12
Arsenal,01/08/1958,3
Arsenal,01/08/1959,13
Arsenal,01/08/1960,11
Arsenal,01/08/1961,10
Arsenal,01/08/1962,7
Arsenal,01/08/1963,8
Arsenal,01/08/1964,13
Arsenal,01/08/1965,14
Arsenal,01/08/1966,7
Arsenal,01/08/1967,9
Arsenal,01/08/1968,4
Arsenal,01/08/1969,12
Arsenal,01/08/1970,1
Arsenal,01/08/1971,5
Arsenal,01/08/1972,2
Arsenal,01/08/1973,10
Arsenal,01/08/1974,16
Arsenal,01/08/1975,17
Arsenal,01/08/1976,8
Arsenal,01/08/1977,5
Arsenal,01/08/1978,7
Arsenal,01/08/1979,4
Arsenal,01/08/1980,3
Arsenal,01/08/1981,5
Arsenal,01/08/1982,10
Arsenal,01/08/1983,6
Arsenal,01/08/1984,7
Arsenal,01/08/1985,7
Arsenal,01/08/1986,4
Arsenal,01/08/1987,6
Arsenal,01/08/1988,1
Arsenal,01/08/1989,4
Arsenal,01/08/1990,1
Arsenal,01/08/1991,4
Arsenal,01/08/1992,10
Arsenal,01/08/1993,4
Arsenal,01/08/1994,12
Arsenal,01/08/1995,5
Arsenal,01/08/1996,3
Arsenal,01/08/1997,1
Arsenal,01/08/1998,2
Arsenal,01/08/1999,2
Arsenal,01/08/2000,2
Arsenal,01/08/2001,1
Arsenal,01/08/2002,2
Arsenal,01/08/2003,1
Arsenal,01/08/2004,2
Arsenal,01/08/2005,4
Arsenal,01/08/2006,4
Arsenal,01/08/2007,3
Arsenal,01/08/2008,4
Arsenal,01/08/2009,3
Arsenal,01/08/2010,4
Arsenal,01/08/2011,3
Arsenal,01/08/2012,4
Arsenal,01/08/2013,4
Bournemouth,01/08/1971,47
Bournemouth,01/08/1972,51
Bournemouth,01/08/1973,55
Bournemouth,01/08/1974,65
Bournemouth,01/08/1976,81
Bournemouth,01/08/1977,85
Bournemouth,01/08/1978,86
Bournemouth,01/08/1979,79
Bournemouth,01/08/1980,81
Bournemouth,01/08/1981,72
Bournemouth,01/08/1982,58
Bournemouth,01/08/1983,61
Bournemouth,01/08/1984,54
Bournemouth,01/08/1985,59
Bournemouth,01/08/1986,45
Bournemouth,01/08/1987,38
Bournemouth,01/08/1988,32
Bournemouth,01/08/1989,42
Bournemouth,01/08/1990,53
Bournemouth,01/08/1991,54
Bournemouth,01/08/1992,63
Bournemouth,01/08/1993,63
Bournemouth,01/08/1994,65
Bournemouth,01/08/1995,58
Bournemouth,01/08/1996,60
Bournemouth,01/08/1997,53
Bournemouth,01/08/2000,51
Bournemouth,01/08/2001,65
Bournemouth,01/08/2002,72
Bournemouth,01/08/2004,52
Bournemouth,01/08/2005,61
Bournemouth,01/08/2006,63
Bournemouth,01/08/2007,65
Bournemouth,01/08/2008,89
Bournemouth,01/08/2009,70
Bournemouth,01/08/2010,50
Bournemouth,01/08/2011,55
Bournemouth,01/08/2012,46
Bournemouth,01/08/2013,30
Burnley,01/08/1900,21
Burnley,01/08/1901,27
Burnley,01/08/1902,36
Burnley,01/08/1903,23
Burnley,01/08/1904,29
Burnley,01/08/1905,29
Burnley,01/08/1906,27
Burnley,01/08/1907,27
Burnley,01/08/1908,34
Burnley,01/08/1909,34
Burnley,01/08/1910,28
Burnley,01/08/1911,23
Burnley,01/08/1912,22
Burnley,01/08/1913,12
Burnley,01/08/1914,4
Burnley,01/08/1915,4
Burnley,01/08/1916,4
Burnley,01/08/1917,4
Burnley,01/08/1918,4
Burnley,01/08/1919,2
Burnley,01/08/1920,1
Burnley,01/08/1921,3
Burnley,01/08/1922,15
Burnley,01/08/1923,17
Burnley,01/08/1924,19
Burnley,01/08/1925,20
Burnley,01/08/1926,5
Burnley,01/08/1927,19
Burnley,01/08/1928,19
Burnley,01/08/1929,21
Burnley,01/08/1930,30
Burnley,01/08/1931,41
Burnley,01/08/1932,41
Burnley,01/08/1933,35
Burnley,01/08/1934,34
Burnley,01/08/1935,37
Burnley,01/08/1936,35
